id,zone,code,name,address,city,state,pincode,is_active,created_at,updated_at
2,13,ADJ,Adajan,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
1,3,AND,Anand,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
3,13,ANK,Ankleshwar,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
4,1,BVL,Bavla,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
5,8,BYD,Bayad,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
6,9,BHB,Bhabhar,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:52:50
7,6,BDR,Bhadrala,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:52:58
8,13,BRC,Bharuch,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
9,4,BHV,Bhavnagar,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
10,10,BHJ,Bhuj,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
11,6,BDL,Bodeli,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:53:12
12,1,BPL,Bopal,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
13,13,BRS,Borsad,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:53:19
14,4,BTD,Botad,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:53:26
15,5,CDK,Chandkheda,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
16,3,CHR,Charotar,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
17,6,CUP,Chhotaudepur,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:53:37
18,13,DBL,Dabholi,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
19,7,DHD,Dahod,,,Gujarat,,1,2026-04-14 17:39:22,2026-04-14 17:39:22
20,7,DGB,DevghadhBaria,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:53:46
21,4,DNH,Dhandhuka,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:53:52
22,12,DNG,Dhangradha,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:54:00
23,1,DLK,Dholka,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:54:06
24,9,DIS,Disa,,,Gujarat,,0,2026-04-14 17:39:22,2026-05-03 14:54:12
25,4,GHD,Gadhda,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:54:22
26,5,GNR,Gandhinagar,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
27,2,GSN,Ghanshyamnagar,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
28,1,GHT,Ghatlodiya,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
29,6,GDH,Godhar,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
30,7,GDR,Godhara,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
31,1,GOT,Gota,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
32,3,HLL,Halol,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
33,10,HLV,Halvad,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:52:41
34,8,HMT,Himmatnagar,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
35,6,IND,Indore,,,MP,,0,2026-04-14 17:39:23,2026-05-03 14:54:45
36,2,ISN,Isanpur,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
37,12,JMN,Jamnagar,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:52:36
38,4,JND,Junagadh,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:52:29
39,9,KDI,Kadi,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
40,5,KLL,Kalol,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
41,1,KLP,Kalupur,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
42,13,KMR,Kamrej,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
107,8,KPV,Kapadvanj,,,,,1,2026-06-04 13:56:43,2026-06-04 13:56:43
43,12,KSD,Keshod,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
44,13,KBT,Khambhat,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
45,6,KNP,Khanpur,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:52:04
46,3,KHD,Kheda,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:51:57
47,10,KUC,Kutcha,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:51:47
48,14,LBD,Limbadi,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:51:41
49,6,LMD,Limdi,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:51:36
50,6,LNV,Lunavada,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
51,9,MSN,Mahesana,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
52,9,MLP,Malpur,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
53,14,MND,Mandal,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:51:17
54,5,MNS,Mansa,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:51:07
55,9,MGR,Meghraj,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:51:00
56,8,MDS,Modasa,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
57,10,MRB,Morbi,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
58,5,MTR,Motera,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:50:50
59,11,MUB,Mumbai,,,Maharashtra,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
60,3,NDY,Nadiyad,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:50:43
61,14,NRC,Narichana,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
62,2,NRD,Naroda,,,Gujarat,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
63,11,NMU,Navi Mumbai,,,Maharashtra,,1,2026-04-14 17:39:23,2026-04-14 17:39:23
64,13,NVS,Navsari,,,Gujarat,,0,2026-04-14 17:39:23,2026-05-03 14:50:29
105,16,NJ,New Jercy,,,,,1,2026-04-26 14:59:18,2026-04-26 14:59:18
65,2,NKL,Nikol,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
66,9,PLP,Palanpur,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
67,9,PTN,Patan,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
68,14,PTD,Patdi,,,Gujarat,,0,2026-04-14 17:39:24,2026-05-03 14:50:13
69,3,PTL,Petlad,,,Gujarat,,0,2026-04-14 17:39:24,2026-05-03 14:50:05
70,9,PND,Pundhra,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
71,11,PNA,Pune,,,Maharashtra,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
72,12,RJT,Rajkot,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
73,4,RJL,Rajula,,,Gujarat,,0,2026-04-14 17:39:24,2026-05-03 14:49:53
74,14,RMP,Rampara,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
75,6,RMS,Ramsor,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
76,1,RNP,Ranip,,,Gujarat,,0,2026-04-14 17:39:24,2026-05-03 14:49:33
77,1,SND,Sanand,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
78,6,SNJ,Sanjeli,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
79,6,STR,Santrampur,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
80,6,SRS,Sarasva,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
81,6,SSN,Sarsan,,,Gujarat,,0,2026-04-14 17:39:24,2026-05-03 14:49:19
82,1,STL,Satellite,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
83,6,SHR,Shehra,,,Gujarat,,0,2026-04-14 17:39:24,2026-05-03 14:49:01
84,6,SHS,Sukhsar,,,Gujarat,,0,2026-04-14 17:39:24,2026-05-03 14:48:54
104,13,SRT,Surat,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
85,14,SRN,Surendranagar,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
86,5,SWD,Swaminarayan Dham,,,Gujarat,,1,2026-04-14 17:39:24,2026-04-14 17:39:24
87,5,TJP,Tajpur,,,Gujarat,,0,2026-04-14 17:39:24,2026-05-03 14:48:45
