id,country,center,code,name,description,is_active,created_at,updated_at,requires_center_selection
11,1,,AVD,AVD,,1,2026-04-14 17:39:43,2026-04-26 01:51:33,1
9,1,,ACC,Account,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
32,1,,AP,Adarsh Project,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
28,1,,ASP,Ajivan Sevak Pratha,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
31,1,,AMV,Anadimukt Vishwam,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
46,1,,BNAVD,BN-AVD,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
43,1,,BNIT,BN-IT,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
45,1,,BNMK,BN-MK,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
44,1,,BNSK,BN-SK,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
30,1,,BPA,Bapashree Aavas,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
42,1,,BN,Bhakti Nivas,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
8,1,,CHT,Chhatralaya,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
49,1,,Core,Core Member,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
47,1,,GA,GA,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
39,1,,GSD,Gaushala,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
7,1,,GGG,Girls Gurukul,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
40,1,,GLS,Global Software Department,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
5,1,,FDS,Gruh Udhyog,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
6,1,,BGG,Gurukul,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
25,1,,HRD,HR,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
22,1,,HOS,Hospital,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
12,1,,ITD,IT,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
36,1,,INS,Insurance,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
33,1,,JSV,Jamin Sachvani Vibhag,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
14,1,,KTH,Kothar,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
13,1,,LGL,Legal,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
38,1,,MMD,Mandir Maintanance,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
48,1,,MVK,Mandir Vahivat Karyalay,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
15,1,,MK,Mukhy Karyalaya,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
41,1,,NAMVK,NA - Mandir Vahivat Karyalay,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
17,1,,NASPK,NA - Satsang Pravuti Karyalaya,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
1,1,,NRM,Nirman,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
2,1,,NRM-Abroad,Nirman - Abroad,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
10,1,,PLN,Planning,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
19,1,,SBS,SBS,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
18,1,,STK,STK,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
21,1,,SHY,Sahay,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
20,1,,SK,Samarpan Karyalay,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
27,1,,SSP,Samarpit Sevak Pratha,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
16,1,,SPK,Satsang Pravuti Karyalaya,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
4,1,,SSD,Satsang Sahitya Department,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
24,1,,SC,Spiritual Center,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
35,1,,STD,Studio,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
29,1,,SDC,Swa.Dham Campus,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
37,1,,TRD,Training Department,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
26,1,,UMK,Utsav Mahotsav Karyalaya,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
3,1,,VDK,VK,,1,2026-04-14 17:39:43,2026-04-14 17:39:43,0
23,1,,VHN,Vahan,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
34,1,,WEB,Web Site,,1,2026-04-14 17:39:44,2026-04-14 17:39:44,0
