id,post_type,role_name,description,is_active,created_at,updated_at
1,center,Center,,1,2026-04-14 17:40:09,2026-06-13 11:05:45
2,center,Center Accountant,,1,2026-04-14 17:40:09,2026-06-12 11:10:34
3,center,Center Sant,,1,2026-04-14 17:40:09,2026-06-12 11:10:24
4,center,Prabhari Sant,,1,2026-04-14 17:40:09,2026-06-12 11:10:17
12,center,Zonal Head,,1,2026-05-13 13:12:04,2026-05-13 13:12:12
5,department,Department,,1,2026-04-14 17:40:09,2026-06-12 11:10:08
8,department,Dept Leader Sant,,1,2026-04-14 17:40:10,2026-06-13 11:06:09
7,department,Dept Sant,,1,2026-04-14 17:40:09,2026-06-13 11:06:19
6,department,HOD,,1,2026-04-14 17:40:09,2026-06-12 11:09:47
10,department,MK Haribhakt,,1,2026-04-14 17:40:10,2026-04-14 17:40:10
11,department,MK Sant,,1,2026-04-14 17:40:10,2026-04-14 17:40:10
9,department,Secretary,,1,2026-04-14 17:40:10,2026-06-12 11:09:39
